cod_muni;cod_depto;depto_origen;muni_origen;lat;lon
05543;05;ANTIOQUIA;PEQUE;7.0216424;-75.9095164
05576;05;ANTIOQUIA;PUEBLORRICO;5.8194403;-75.8592985
05579;05;ANTIOQUIA;PUERTO BERRÍO;6.4899205;-74.4020634
05585;05;ANTIOQUIA;PUERTO NARE;6.1876653;-74.5828711
05591;05;ANTIOQUIA;PUERTO TRIUNFO;5.8689335;-74.6407965
05604;05;ANTIOQUIA;REMEDIOS;7.0285327;-74.695191
05607;05;ANTIOQUIA;RETIRO;6.496713;-76.3990422
05615;05;ANTIOQUIA;RIONEGRO;6.1536166;-75.3741691
05628;05;ANTIOQUIA;SABANALARGA;6.848687;-75.8166534
05631;05;ANTIOQUIA;SABANETA;6.1515344;-75.6153715
05642;05;ANTIOQUIA;SALGAR;5.9631358;-75.9791386
05647;05;ANTIOQUIA;SAN ANDRÉS DE CUERQUÍA;6.9148672;-75.6764208
05649;05;ANTIOQUIA;SAN CARLOS;6.1908026;-74.9437879
05652;05;ANTIOQUIA;SAN FRANCISCO;5.8787216;-74.9611669
05656;05;ANTIOQUIA;SAN JERÓNIMO;6.4427228;-75.727937
05658;05;ANTIOQUIA;SAN JOSÉ DE LA MONTAÑA;6.8169298;-75.6756064
05659;05;ANTIOQUIA;SAN JUAN DE URABÁ;8.7609887;-76.5283566
05660;05;ANTIOQUIA;SAN LUIS;6.0428128;-74.9944061
05664;05;ANTIOQUIA;SAN PEDRO DE LOS MILAGROS;6.4618141;-75.5560645
05665;05;ANTIOQUIA;SAN PEDRO DE URABÁ;8.2778883;-76.3830793
05667;05;ANTIOQUIA;SAN RAFAEL;6.2954934;-75.0280123
05670;05;ANTIOQUIA;SAN ROQUE;6.4851146;-75.0195044
05674;05;ANTIOQUIA;SAN VICENTE FERRER;6.2826782;-75.3318244
05679;05;ANTIOQUIA;SANTA BÁRBARA;5.8743766;-75.5679573
05686;05;ANTIOQUIA;SANTA ROSA DE OSOS;6.6453171;-75.4614576
